Artist;Track
Gorillaz;Feel Good Inc.
Gorillaz;Rhinestone Eyes
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown)
Gorillaz;On Melancholy Hill
Gorillaz;Clint Eastwood
Gorillaz;DARE
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix
Gorillaz;She's My Collar (feat. Kali Uchis)
Gorillaz;Cracker Island (feat. Thundercat)
Gorillaz;Dirty Harry
Red Hot Chili Peppers;Californication
Red Hot Chili Peppers;Under the Bridge
Red Hot Chili Peppers;Can't Stop
Red Hot Chili Peppers;Scar Tissue
Red Hot Chili Peppers;Otherside
Red Hot Chili Peppers;Snow (Hey Oh)
Red Hot Chili Peppers;Dani California
Red Hot Chili Peppers;By the Way
Red Hot Chili Peppers;Give It Away
Red Hot Chili Peppers;Dark Necessities
50 Cent;In Da Club
50 Cent;Candy Shop
50 Cent;Just A Lil Bit
50 Cent;P.I.M.P.
50 Cent;Many Men (Wish Death)
50 Cent;Disco Inferno
50 Cent;21 Questions
50 Cent;Is This Love ('09) (feat. 50 Cent)
50 Cent;If I Can't
50 Cent;Best Friend - Remix
Metallica;Enter Sandman (Remastered)
Metallica;Nothing Else Matters (Remastered)
Metallica;Master of Puppets (Remastered)
Metallica;Whiskey In The Jar
Metallica;The Unforgiven (Remastered)
Metallica;One (Remastered)
Metallica;For Whom The Bell Tolls (Remastered)
Metallica;Lux Æterna
Metallica;Sad But True (Remastered)
Metallica;Screaming Suicide
Coldplay;Yellow
Coldplay;Viva La Vida
Coldplay;Sparks
Coldplay;Something Just Like This
Coldplay;The Scientist
Coldplay;A Sky Full of Stars
Coldplay;Paradise
Coldplay;Hymn for the Weekend
Coldplay;My Universe
Coldplay;Fix You
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
Daft Punk;One More Time
Daft Punk;Instant Crush (feat. Julian Casablancas)
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers)
Daft Punk;Around the World
Daft Punk;Harder, Better, Faster, Stronger
Daft Punk;Something About Us
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams)
Daft Punk;Veridis Quo
Daft Punk;Digital Love
Linkin Park;In the End
Linkin Park;Numb
Linkin Park;What I've Done
Linkin Park;Numb / Encore
Linkin Park;One Step Closer
Linkin Park;Faint
Linkin Park;Bleed It Out
Linkin Park;Papercut
Linkin Park;Crawling
Linkin Park;BURN IT DOWN
Radiohead;Creep
Radiohead;No Surprises
Radiohead;Karma Police
Radiohead;High and Dry
Radiohead;Exit Music (For A Film)
Radiohead;Weird Fishes/ Arpeggi
Radiohead;Jigsaw Falling Into Place
Radiohead;Fake Plastic Trees
Radiohead;Just
Radiohead;Nude
AC/DC;Highway to Hell
AC/DC;Thunderstruck
AC/DC;Back In Black
AC/DC;You Shook Me All Night Long
AC/DC;T.N.T.
AC/DC;Hells Bells
AC/DC;Dirty Deeds Done Dirt Cheap
AC/DC;Shoot to Thrill
AC/DC;It's a Long Way to the Top (If You Wanna Rock 'N' Roll)
AC/DC;Rock N Roll Train
Black Eyed Peas;I Gotta Feeling
Black Eyed Peas;DON'T YOU WORRY
Black Eyed Peas;Where Is The Love?
Black Eyed Peas;Just Can’t Get Enough
Black Eyed Peas;GIRL LIKE ME
Black Eyed Peas;Pump It
Black Eyed Peas;Pump It Louder
Black Eyed Peas;Meet Me Halfway
Black Eyed Peas;RITMO (Bad Boys For Life)
Black Eyed Peas;SIMPLY THE BEST
Michael Jackson;Billie Jean
Michael Jackson;Chicago
Michael Jackson;Beat It
Michael Jackson;Smooth Criminal - 2012 Remaster
Michael Jackson;Rock with You - Single Version
Michael Jackson;Don't Stop 'Til You Get Enough
Michael Jackson;They Don't Care About Us
Michael Jackson;Remember the Time
Michael Jackson;The Way You Make Me Feel - 2012 Remaster
Michael Jackson;Love Never Felt So Good
P!nk;Just Give Me a Reason (feat. Nate Ruess)
P!nk;Never Gonna Not Dance Again
P!nk;Raise Your Glass
P!nk;Try
P!nk;So What
P!nk;What About Us
P!nk;Cover Me In Sunshine
P!nk;TRUSTFALL
P!nk;Who Knew
P!nk;True Love (feat. Lily Allen)
Eminem;Mockingbird
Eminem;Without Me
Eminem;The Real Slim Shady
Eminem;Superman
Eminem;Till I Collapse
Eminem;Stan
Eminem;Love The Way You Lie
Eminem;Godzilla (feat. Juice WRLD)
Eminem;Sing For The Moment
Eminem;Not Afraid
Pharrell Williams;"Happy - From ""Despicable Me 2"""
Pharrell Williams;Down In Atlanta
Pharrell Williams;Feels (feat. Pharrell Williams, Katy Perry & Big Sean)
Pharrell Williams;Cash In Cash Out
Pharrell Williams;Stay With Me (with Justin Timberlake, Halsey & Pharrell)
Pharrell Williams;Hit Different
Pharrell Williams;Neon Guts (feat. Pharrell Williams)
Pharrell Williams;JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)
Pharrell Williams;Just A Cloud Away
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix
Khalid;lovely (with Khalid)
Khalid;Numb
Khalid;Silence
Khalid;Young Dumb & Broke
Khalid;Eastside (with Halsey & Khalid)
Khalid;Better
Khalid;Location
Khalid;8TEEN
Khalid;Beautiful People (feat. Khalid)
Khalid;Love Lies (with Normani)
Shakira;Shakira: Bzrp Music Sessions, Vol. 53
Shakira;Monotonía
Shakira;Te Felicito
Shakira;Hips Don't Lie (feat. Wyclef Jean)
Shakira;Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
Shakira;DON'T YOU WORRY
Shakira;Dia de Enero
Shakira;Chantaje (feat. Maluma)
Shakira;Inevitable
Shakira;Antologia
Machine Gun Kelly;my ex's best friend (with blackbear)
Machine Gun Kelly;I Think I'm OKAY (with YUNGBLUD & Travis Barker)
Machine Gun Kelly;maybe (feat. Bring Me The Horizon)
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)
Machine Gun Kelly;forget me too (feat. Halsey)
Machine Gun Kelly;bloody valentine
Machine Gun Kelly;Bad Things (with Camila Cabello)
Machine Gun Kelly;make up sex (feat. blackbear)
Machine Gun Kelly;F*CK YOU, GOODBYE (feat. Machine Gun Kelly)
Machine Gun Kelly;ay! (feat. Lil Wayne)
Nicky Jam;X
Nicky Jam;El Perdón (with Enrique Iglesias)
Nicky Jam;Bella y Sensual
Nicky Jam;Nicky Jam: Bzrp Music Sessions, Vol. 41
Nicky Jam;Cuaderno
Nicky Jam;En La Cama (feat. Daddy Yankee)
Nicky Jam;Si Te Preguntan...
Nicky Jam;Hasta el Amanecer
Nicky Jam;Color Esperanza 2020
Nicky Jam;Donde Estan las Gatas
The Beatles;Here Comes The Sun - Remastered 2009
The Beatles;Let It Be - Remastered 2009
The Beatles;Come Together - Remastered 2009
The Beatles;Yesterday - Remastered 2009
The Beatles;Twist And Shout - Remastered 2009
The Beatles;Blackbird - Remastered 2009
The Beatles;In My Life - Remastered 2009
The Beatles;Hey Jude - Remastered 2015
The Beatles;I Want To Hold Your Hand - Remastered 2015
The Beatles;Something - Remastered 2009
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)
Pitbull;Timber (feat. Ke$ha)
Pitbull;Time of Our Lives
Pitbull;Feel This Moment (feat. Christina Aguilera)
Pitbull;International Love (feat. Chris Brown)
Pitbull;Fireball (feat. John Ryan)
Pitbull;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)
Pitbull;Hotel Room Service
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain)
Pitbull;HOT
Sean Paul;No Lie
Sean Paul;Temperature
