Artist;Track
Gorillaz;Gorillaz - Feel Good Inc. (Official Video)
Gorillaz;Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video)
Gorillaz;Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser)
Gorillaz;Gorillaz - On Melancholy Hill (Official Video)
Gorillaz;Gorillaz - Clint Eastwood (Official Video)
Gorillaz;Gorillaz - DARE (Official Video)
Gorillaz;Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)
Gorillaz;Gorillaz - She's My Collar [HQ]
Gorillaz;Gorillaz - Cracker Island ft. Thundercat (Official Video)
Gorillaz;Gorillaz - Dirty Harry (Official Video)
Red Hot Chili Peppers;Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE]
Red Hot Chili Peppers;Red Hot Chili Peppers - Under The Bridge [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Can't Stop [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Scar Tissue [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Otherside [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video)
Red Hot Chili Peppers;Red Hot Chili Peppers - Dani California [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - By The Way [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Give It Away [Official Music Video]
Red Hot Chili Peppers;Red Hot Chili Peppers - Dark Necessities [Official Music Video]
50 Cent;50 Cent - In Da Club (Official Music Video)
50 Cent;50 Cent - Candy Shop (Official Music Video) ft. Olivia
50 Cent;50 Cent - Just A Lil Bit
50 Cent;50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit
50 Cent;50 Cent - Many Men (Wish Death) (Dirty Version)
50 Cent;50 Cent - Disco Inferno (Official Music Video)
50 Cent;50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg
50 Cent;Eminem, 50 Cent - Is This Love ('09) [Visualizer]
50 Cent;50 Cent - If I Can't (Official Music Video)
50 Cent;50 Cent-Best Friend(Remix)
Metallica;Metallica: Enter Sandman (Official Music Video)
Metallica;Metallica: Nothing Else Matters (Official Music Video)
Metallica;Master of Puppets (Remastered)
Metallica;Metallica - Whiskey In The Jar (Official Music Video)
Metallica;Metallica - The Unforgiven (Official Music Video)
Metallica;Metallica - One (Official Music Video) [Remastered in HD]
Metallica;For Whom The Bell Tolls (Remastered)
Metallica;Metallica: Lux Æterna (Official Music Video)
Metallica;Metallica: Sad But True (Official Music Video)
Metallica;Metallica: Screaming Suicide (Official Music Video)
Coldplay;Coldplay - Yellow (Official Video)
Coldplay;Coldplay - Viva La Vida (Official Video)
Coldplay;Sparks
Coldplay;The Chainsmokers & Coldplay - Something Just Like This (Lyric)
Coldplay;Coldplay - The Scientist (Official 4K Video)
Coldplay;Coldplay - A Sky Full Of Stars (Official Video)
Coldplay;Coldplay - Paradise (Official Video)
Coldplay;Coldplay - Hymn For The Weekend (Official Video)
Coldplay;Coldplay X BTS - My Universe (Official Video)
Coldplay;Coldplay - Fix You (Official Video)
Daft Punk;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers
Daft Punk;Daft Punk - One More Time (Official Video)
Daft Punk;Daft Punk - Instant Crush (Video) ft. Julian Casablancas
Daft Punk;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers
Daft Punk;Daft Punk - Around The World (Official Music Video Remastered)
Daft Punk;Daft Punk - Harder, Better, Faster, Stronger (Official Video)
Daft Punk;Daft Punk - Something About Us (Official Video)
Daft Punk;Daft Punk - Lose Yourself to Dance (Official Version)
Daft Punk;Daft Punk - Veridis Quo (Official Video)
Daft Punk;Daft Punk - Digital Love (Official Video)
Linkin Park;In The End [Official HD Music Video] - Linkin Park
Linkin Park;Numb [Official Music Video] - Linkin Park
Linkin Park;What I've Done [Official Music Video] - Linkin Park
Linkin Park;Numb/Encore [Live] - Linkin Park & Jay Z
Linkin Park;One Step Closer [Official HD Music Video] - Linkin Park
Linkin Park;Faint [Official Music Video] - Linkin Park
Linkin Park;Bleed It Out [Official Music Video] - Linkin Park
Linkin Park;Papercut [Official HD Music Video] - Linkin Park
Linkin Park;Crawling [Official HD Music Video] - Linkin Park
Linkin Park;BURN IT DOWN [Official Music Video] - Linkin Park
Radiohead;Radiohead - Creep
Radiohead;Radiohead - No Surprises
Radiohead;Radiohead - Karma Police
Radiohead;Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO]
Radiohead;Exit Music (For A Film)
Radiohead;Radiohead - Weird Fishes -  by Tobias Stretch
Radiohead;Radiohead - Jigsaw Falling Into Place
Radiohead;Radiohead - Fake Plastic Trees
Radiohead;Radiohead - Just
Radiohead;Radiohead - Nude
AC/DC;AC/DC - Highway to Hell (Official Video)
AC/DC;AC/DC - Thunderstruck (Official Video)
AC/DC;AC/DC - Back In Black (Official Video)
AC/DC;AC/DC - You Shook Me All Night Long (Official Video)
AC/DC;AC/DC - T.N.T. (Live At River Plate, December 2009)
AC/DC;AC/DC - Hells Bells (Official Video)
AC/DC;AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio)
AC/DC;AC/DC - Shoot To Thrill (Iron Man 2 Version)
AC/DC;AC/DC - It's a Long Way to the Top (If You Wanna Rock 'n' Roll) (Official Video)
AC/DC;AC/DC - Rock N Roll Train (Official Video)
Black Eyed Peas;The Black Eyed Peas - I Gotta Feeling (Official Music Video)
Black Eyed Peas;Black Eyed Peas, Shakira, David Guetta - DON'T YOU WORRY (Official Music Video)
Black Eyed Peas;The Black Eyed Peas - Where Is The Love? (Official Music Video)
Black Eyed Peas;The Black Eyed Peas - Just Can't Get Enough (Official Music Video)
Black Eyed Peas;Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)
Black Eyed Peas;The Black Eyed Peas - Pump It (Official Music Video)
Black Eyed Peas;Tiësto & Black Eyed Peas - Pump It Louder (Official Video)
Black Eyed Peas;The Black Eyed Peas - Meet Me Halfway (Official Music Video)
Black Eyed Peas;Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)
Black Eyed Peas;Black Eyed Peas, Anitta, El Alfa - SIMPLY THE BEST (Official Music Video)
Michael Jackson;Michael Jackson - Billie Jean (Official Video)
Michael Jackson;Michael Jackson - Chicago
Michael Jackson;Michael Jackson - Beat It (Official 4K Video)
Michael Jackson;Michael Jackson - Smooth Criminal (Single Version) HD
Michael Jackson;Michael Jackson - Rock With You (Official Video)
Michael Jackson;Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video)
Michael Jackson;Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video)
Michael Jackson;Michael Jackson - Remember The Time (Official Video)
Michael Jackson;Michael Jackson - The Way You Make Me Feel (Official Video)
Michael Jackson;Michael Jackson, Justin Timberlake - Love Never Felt So Good (Official Video)
P!nk;P!nk - Just Give Me A Reason ft. Nate Ruess
P!nk;P!NK - Never Gonna Not Dance Again (Official Video)
P!nk;P!nk - Raise Your Glass (Official Video)
P!nk;P!nk - Try (Official Video)
P!nk;P!nk - So What (Official Video)
P!nk;P!NK - What About Us (Official Video)
P!nk;P!NK, Willow Sage Hart - Cover Me In Sunshine (Official Video)
P!nk;P!NK - TRUSTFALL (Official Video)
P!nk;P!nk - Who Knew (Official Video)
P!nk;P!nk - True Love (Official Video) ft. Lily Allen
Eminem;Eminem - Mockingbird [Official Music Video]
Eminem;Eminem - Without Me (Official Music Video)
Eminem;Eminem - The Real Slim Shady (Official Video - Clean Version)
Eminem;Eminem - Superman (Clean Version) ft. Dina Rae
Eminem;Eminem - Till I Collapse Feat. Nate Dogg [OFFICIAL MUSIC VIDEO]
Eminem;Eminem - Stan (Long Version) ft. Dido
Eminem;Eminem - Love The Way You Lie ft. Rihanna
Eminem;Eminem - Godzilla ft. Juice WRLD (Directed by Cole Bennett)
Eminem;Eminem - Sing For The Moment (Official Music Video)
